   PID TTY          TIME CMD
 30926 ?        00:00:00 sh
 30934 ?        00:00:04 node
 32226 ?        00:00:00 sshd
 32385 ?        00:00:00 sshd
 32386 pts/63   00:00:00 bash
 33809 ?        00:00:00 kworker/3:1
 34129 ?        00:00:00 sh
 34137 ?        00:00:19 node
 34232 ?        00:03:51 node
 34248 pts/69   00:00:00 bash
 35026 ?        00:00:00 kworker/27:2
 35328 ?        00:00:00 sshd
 35404 ?        00:00:00 sshd
 35405 pts/44   00:00:00 bash
 37327 ?        00:00:00 sshd
 37350 ?        00:00:00 sshd
 37351 ?        00:00:00 sftp-server
 37956 ?        00:00:00 sshd
 37982 ?        00:00:00 sshd
 37983 pts/56   00:00:00 bash
 38995 ?        00:00:00 kworker/u544:2
 39688 ?        00:00:00 kworker/0:1
 39742 ?        00:00:00 sshd
 39774 ?        00:00:00 sshd
 39775 pts/21   00:00:00 bash
 40905 ?        00:00:00 python3
 40925 ?        00:00:00 kworker/29:1H
 41363 ?        00:00:00 kworker/38:1
 44416 ?        00:00:00 sshd
 44435 ?        00:00:00 sshd
 44436 pts/33   00:00:00 bash
 44792 ?        00:00:00 sshd
 44809 ?        00:00:07 sshd
 44810 pts/37   00:00:00 bash
 44920 pts/33   00:00:00 tmux
 44922 ?        00:00:03 tmux
 44923 pts/42   00:00:00 bash
 44971 pts/43   00:00:00 bash
 45475 ?        00:00:00 sshd
 45495 ?        00:00:00 sshd
 45496 pts/20   00:00:00 bash
 45886 ?        00:00:00 kworker/8:0
 46120 ?        00:00:00 sshd
 46163 ?        00:00:00 sshd
 46164 pts/27   00:00:00 ssh
 46364 ?        00:00:05 kworker/24:1
 47047 ?        00:00:00 kworker/46:1H
 47099 ?        00:00:00 kworker/44:1H
 47771 ?        00:00:00 sshd
 47875 ?        00:00:00 sshd
 47876 pts/8    00:00:00 bash
 49652 ?        00:00:00 kworker/38:1H
 49797 ?        00:00:00 kworker/46:2
 50516 ?        00:00:00 kworker/24:1H
 50583 ?        00:00:00 sshd
 50607 ?        00:00:00 sshd
 50608 pts/51   00:00:00 bash
 51422 ?        00:00:00 sshd
 51427 ?        00:00:00 sshd
 51428 pts/7    00:00:00 bash
 51819 ?        00:00:00 sshd
 51846 ?        00:00:00 sshd
 51847 pts/3    00:00:00 bash
 52144 ?        00:00:00 sshd
 52313 ?        00:00:00 sshd
 52319 ?        00:00:00 sshd
 52320 pts/26   00:00:00 bash
 52409 ?        00:00:00 sshd
 52413 pts/59   00:00:00 bash
 53075 ?        00:00:24 tmux
 53076 pts/82   00:00:00 bash
 53171 ?        00:00:00 kworker/21:1
 53232 ?        00:00:00 kworker/40:2
 53233 ?        00:00:00 kworker/20:1
 53237 ?        00:00:00 kworker/1:2
 53240 ?        00:00:00 kworker/45:0
 53241 ?        00:00:00 kworker/23:0
 53247 ?        00:00:00 kworker/32:1
 53248 ?        00:00:00 kworker/35:0
 53249 ?        00:00:00 kworker/15:1
 53250 ?        00:00:00 kworker/17:1
 53286 ?        00:00:00 kworker/39:1
 53311 ?        00:00:00 kworker/19:2
 53321 ?        00:00:00 kworker/41:0
 53324 ?        00:00:00 kworker/25:1
 53332 ?        00:00:00 kworker/22:0
 53343 ?        00:00:00 kworker/0:2
 53347 ?        00:00:00 kworker/16:1
 53355 ?        00:00:00 kworker/2:0
 53357 ?        00:00:00 kworker/44:2
 53362 ?        00:00:00 kworker/11:0
 53366 ?        00:00:00 kworker/37:2
 53381 ?        00:00:00 kworker/43:0
 53396 ?        00:00:00 sshd
 53422 ?        00:00:00 sshd
 53423 pts/55   00:00:00 bash
 53635 ?        00:00:00 sshd
 53654 ?        00:00:00 sshd
 53655 pts/61   00:00:00 bash
 53959 ?        00:00:00 kworker/7:2
 53964 ?        00:00:00 kworker/42:0
 54052 ?        00:00:00 server
 55037 ?        00:00:00 sshd
 55038 ?        00:00:00 sshd
 55039 ?        00:00:00 sshd
 55040 ?        00:00:00 sshd
 55051 ?        00:00:00 kworker/12:2
 55063 ?        00:00:00 sshd
 55064 ?        00:00:00 sshd
 55065 ?        00:00:00 sshd
 55066 ?        00:00:00 sshd
 55244 ?        00:00:00 kworker/39:0
 55589 ?        00:00:00 sshd
 55971 ?        00:00:00 sshd
 55973 pts/54   00:00:00 bash
 56178 ?        00:00:00 kworker/4:1
 56614 ?        00:00:00 kworker/6:2
 57722 ?        00:00:00 kworker/40:1H
 57819 ?        00:00:00 kworker/20:0
 57821 ?        00:00:00 kworker/8:1
 57956 ?        00:00:00 sshd
 57979 ?        00:00:00 sshd
 57980 pts/31   00:00:00 bash
 58127 pts/31   00:00:00 ssh
 58202 ?        00:00:00 kworker/13:0
 59851 ?        00:00:00 sshd
 59890 ?        00:00:00 sshd
 59891 pts/22   00:00:00 bash
 60068 ?        00:00:00 sshd
 60175 ?        00:00:00 sshd
 60179 pts/50   00:00:00 bash
 60787 ?        00:00:00 sshd
 60990 pts/21   00:59:11 python
 60991 ?        00:00:00 sshd
 60992 pts/75   00:00:00 bash
 61068 ?        00:00:00 python3
 61092 ?        00:00:00 sshd
 61115 ?        00:00:00 sshd
 61116 pts/76   00:00:00 bash
 61217 ?        00:00:00 kworker/26:0
 61618 ?        00:00:00 sshd
 61623 ?        00:00:00 sshd
 61625 pts/39   00:00:00 bash
 61701 pts/39   00:00:01 python3
 61941 ?        00:00:00 sshd
 61971 ?        00:00:05 sshd
 61972 pts/74   00:00:00 bash
 62333 ?        00:00:00 kworker/4:0
 62335 ?        00:00:00 kworker/19:0
 62589 ?        00:00:00 kworker/47:1H
 62592 ?        00:00:00 kworker/10:0
 62652 ?        00:00:00 kworker/11:1
 62826 ?        00:00:00 sshd
 62851 ?        00:00:00 sshd
 62852 pts/57   00:00:00 bash
 62903 ?        00:00:00 kworker/13:1
 62954 pts/57   00:00:00 ssh
 63323 ?        00:00:00 kworker/33:0
 63617 ?        00:00:00 sshd
 64226 ?        00:00:00 sshd
 64228 pts/67   00:00:00 bash
 64362 ?        00:00:01 kworker/u545:2
 64489 ?        00:00:00 sshd
 64542 ?        00:00:00 sshd
 64543 pts/18   00:00:00 bash
 64667 ?        00:00:00 sshd
 64673 ?        00:00:00 sshd
 64674 pts/19   00:00:00 sh
 65025 pts/66   00:00:00 sh
 65079 pts/66   00:00:00 sh
 65081 pts/66   00:00:00 pyls
 66268 ?        00:00:01 kworker/u545:0
 68189 ?        00:00:02 kworker/u546:4
 68191 ?        00:00:02 kworker/u546:7
 68301 ?        00:00:00 kworker/29:1
 68769 ?        00:00:00 kworker/5:2
 69724 ?        00:00:00 sshd
 69815 ?        00:00:00 sshd
 69816 pts/79   00:00:00 bash
 70027 ?        00:00:00 kworker/18:1
 70407 ?        00:00:00 sshd
 70434 ?        00:00:00 sshd
 70435 pts/80   00:00:00 bash
 70522 pts/80   00:00:00 ssh
 71617 ?        00:00:02 kworker/u546:1
 71685 ?        00:00:02 kworker/u546:3
 71837 ?        00:00:00 sshd
 71903 ?        00:00:00 sshd
 71904 pts/38   00:00:00 bash
 72376 ?        00:00:00 sshd
 72417 ?        00:00:00 sshd
 72418 pts/30   00:00:00 bash
 72596 ?        00:00:00 sshd
 72647 ?        00:00:01 kworker/u545:5
 72652 ?        00:00:00 sshd
 72653 pts/49   00:00:00 bash
 73131 ?        00:00:00 sshd
 73156 ?        00:00:00 sshd
 73157 pts/16   00:00:00 bash
 73339 ?        00:00:00 ssh-agent
 73422 ?        00:00:00 kworker/9:1
 73617 ?        00:00:01 kworker/u546:2
 73934 pts/79   00:00:00 vim
 74177 ?        00:00:00 kworker/17:2
 74624 ?        00:00:00 sshd
 74660 ?        00:00:00 sshd
